Athlete ID,Meet Date,Meet Name,Race Distance,Time,Place
43509,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1559.6147999999998,148
50868,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1560.2149,149
85313,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1560.4150000000002,150
71711,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1560.6151,151
67607,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1562.1152,152
45927,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1562.3153,153
69792,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1562.5154,154
50926,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1562.6154999999999,155
53853,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1563.2156,156
50515,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1563.8156999999999,157
69522,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1564.0158,158
56787,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1566.3159,159
52172,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1566.516,160
50508,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1566.7161,161
22993,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1566.9162000000001,162
86160,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1567.4163,163
57264,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1568.3164,164
81112,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1568.7165,165
62098,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1568.8165999999999,166
13948,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1569.2167,167
46800,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1569.4168000000002,168
45292,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1569.6169,169
45792,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1569.9170000000001,170
68593,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.0171,171
67948,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.0172,172
66210,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.2173,173
42673,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.2174,174
56567,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.6174999999998,175
60992,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.7176,176
29724,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.9177000000002,177
51257,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1570.9178000000002,178
46576,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1571.7179,179
53132,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1571.818,180
53133,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1572.5181,181
50894,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1572.9182,182
58683,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1573.0183,183
52958,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1573.1183999999998,184
76528,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1573.6184999999998,185
43877,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1574.0186,186
89394,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1574.4187000000002,187
67137,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1574.5188,188
43925,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1575.4189000000001,189
59217,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1575.519,190
88531,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1575.6191,191
81118,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1575.8192,192
33416,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1576.1192999999998,193
68821,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1576.2194,194
48278,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1576.3195,195
18182,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1577.5196,196
64828,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1578.0197,197
43225,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1578.1198,198
77919,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1578.6199,199
50380,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1579.12,200
46553,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1579.7201,201
77720,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1579.8201999999999,202
48776,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1580.1202999999998,203
69793,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1580.7204000000002,204
5361,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1581.0205,205
57255,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1581.2206,206
80217,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1581.7207,207
72957,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1582.1208,208
86164,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1582.7209,209
48886,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1583.6209999999999,210
72428,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1584.1210999999998,211
51270,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1584.5212,212
9701,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1585.4213000000002,213
28304,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1585.6214,214
42064,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1586.1215,215
69519,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1586.1216,216
55948,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1586.2217,217
48614,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1587.7218,218
56788,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1587.9219,219
13738,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1589.022,220
48612,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1589.2221,221
87400,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1589.4222000000002,222
66842,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1589.5223,223
42677,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1590.0224,224
59242,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1590.5225,225
48275,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1590.7226,226
45298,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1591.0227,227
68822,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1591.9228,228
61056,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1592.5229,229
67356,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1592.6229999999998,230
83353,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1592.8231,231
45293,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1592.8232,232
44791,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1593.1233,233
28276,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1593.3234,234
59402,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1593.7235,235
67165,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1594.4236,236
50959,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1594.7237,237
26897,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1594.9238,238
46802,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1595.0239,239
48623,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1595.3239999999998,240
72741,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1596.6241,241
48872,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1596.9242000000002,242
81375,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1599.2243,243
68101,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1599.5244,244
64817,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1600.3245,245
25811,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1600.4246,246
50482,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1600.5247,247
56332,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1600.6247999999998,248
52258,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1601.2249,249
54101,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1602.2250000000001,250
76523,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1602.8251,251
68106,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1603.4252000000001,252
50159,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1603.9253,253
47498,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1604.6254,254
56055,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1604.7255,255
77913,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1605.0256,256
51250,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1605.9257,257
69515,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1608.0258,258
50858,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1608.8259,259
81374,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1608.9260000000002,260
48655,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1609.2261,261
66835,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1612.7262,262
58367,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1614.3263,263
63326,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1615.1263999999999,264
50156,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1615.6264999999999,265
79469,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1616.6265999999998,266
53138,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1617.7267,267
88445,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1618.5268,268
53555,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1619.5269,269
71714,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1620.027,270
50609,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1620.6271,271
81376,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1622.4272,272
48282,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1623.3273,273
53136,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1623.8274,274
32004,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1627.3274999999999,275
63331,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1627.7276,276
52960,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1632.5277,277
43231,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1633.7278000000001,278
26359,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1635.1279,279
45291,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1636.428,280
85724,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1641.7281,281
33418,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1648.4282,282
58362,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1650.8283,283
43519,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1653.5284,284
47379,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1656.3284999999998,285
64208,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1660.4286000000002,286
24703,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1665.6287,287
85391,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1667.3288,288
57269,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1667.6289,289
50218,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1673.929,290
50226,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1674.3291,291
70501,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1675.7292,292
56743,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1679.1292999999998,293
64207,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1679.5294,294
